image,label,common name,origin,uses
images/0.jpg,maclura_pomifera,Osage-orange,South-central United States (Texas to Arkansas),"Living fences, archery bows, natural insect repellent, yellow dye"
images/6.jpg,ulmus_rubra,slippery elm,"Japan, Korea, China","Ornamental landscaping, bonsai, autumn color"
images/7.jpg,broussonettia_papyrifera,paper mulberry,"Europe, western Asia","Honey production (linden honey), herbal tea, carving wood, urban tree"
images/11.jpg,prunus_virginiana,Chokecherry,Eastern North America,"Edible nuts (white walnuts), cabinet wood, maple-walnut syrup tapping"
images/31.jpg,acer_rubrum,Red Maple,North America,"Pulpwood, matchsticks, paneling, wildlife browse, autumn color"
images/34.jpg,cryptomeria_japonica,Japanese Cedar,China,"Ornamental (mottled bark), drought-tolerant landscaping, pine-nut-like seeds"
images/64.jpg,staphylea_trifolia,American Bladdernut,Eastern North America,"Ornamental spring flowers, dense wood for textile spindles, wildlife fruit"
images/73.jpg,asimina_triloba,Pawpaw,China,"Ornamental crab-apple, edible small fruit, rootstock for apples"
images/92.jpg,diospyros_virginiana,Persimmon,Eastern North America,"Ornamental, hop substitute from fruits, medicinal bark"
images/97.jpg,tilia_cordata,Littleleaf Linden,Eastern North America,"Construction timber, honey (tulip-poplar nectar), ornamental, pulpwood"
images/104.jpg,ulmus_pumila,Siberian Elm,Eastern United States,"Acorn flour potential, wildlife mast, durable timber, fuelwood"
images/124.jpg,quercus_muehlenbergii,Chinkapin Oak,Europe,"Construction lumber, paper, Christmas trees, tonewood for violins"
images/130.jpg,juglans_cinerea,Butternut,Eastern North America,"High-tannin bark (leather), timber, fuel, wildlife acorns"
images/137.jpg,cercis_canadensis,Eastern Redbud,North America,"Maple syrup, hardwood flooring, autumn color, tourist foliage"
images/139.jpg,ptelea_trifoliata,Common Hoptree,North America,"Edible sweet berries, ornamental, wildlife browse"
images/153.jpg,acer_palmatum,Japanese Maple,Eastern United States,"Christmas greenery (holly), ornamental, honey (honey-dew), bird food"
images/166.jpg,catalpa_speciosa,Northern Catalpa,Southeastern United States,"Ornamental, wildlife nectar, soap from saponin-rich seeds"
images/167.jpg,abies_concolor,White Fir,Southeastern United States,"Ornamental red flowers, wildlife nectar, soap from seeds"
images/199.jpg,eucommia_ulmoides,Hardy Rubber Tree,China,"Medicinal latex (hypertension), rubber extraction, ornamental street tree"
images/204.jpg,quercus_montana,Chestnut Oak,Japan / Korea / China,"Ornamental small tree, fragrant flowers, resin for incense"
