Scientific name,General Name,Origin,Uses
Abies holophylla,Needle Fir,Asia,"Timber, Ornamental"
Abies nephrolepis,Khingan Fir,Asia,"Timber, Ornamental"
Acacia,Acacia,"Australia, Africa","Ornamental, Timber, Gum arabic"
Adenium species,Desert Rose,"Africa, Arabia",Ornamental
Adenanthera microsperma,Red Sandalwood,Southeast Asia,"Ornamental, Timber, Seeds used for beads"
Acer palmatum,Japanese Maple,Asia,"Ornamental, Bonsai"
Acer palmatum var. amoenum,Japanese maple/amoenum maple,"Mountain forests of Japan,Korea and southern China","Pretty garden tree for bright fall color,Bonsai or small patio plant"
Acer pictum subsp. mono,Painted Maple,Asia,"Ornamental, Timber"
Acer pseudosieboldianum,Korean Maple,Asia,Ornamental
Aesculus turbinata,Japanese Horse Chestnut,Japan,"Ornamental, Starch from seeds (processed)"
Alnus hirsuta,Manchurian Alder,Asia,"Timber, Ecological restoration"
Alnus japonica,Japanese Alder,Asia,"Timber, Ecological restoration"
alder,Alder,Northern Hemisphere,"Timber, Ecological restoration, Dye"
Anacardium occidentale,Cashew,Brazil,"Nut, Fruit (cashew apple), Nut shell oil"
Annona squamosa,Sugar Apple,Tropical Americas,Fruit
Artocarpus altilis,Breadfruit,Pacific Islands,"Staple food (fruit), Timber"
Artocarpus heterophyllus,Jackfruit,South Asia,"Fruit, Timber"
Barringtonia acutangula,Indian Oak,"South Asia, Southeast Asia","Ornamental, Medicinal, Fish poison"
beech,Beech,Northern Hemisphere,"Timber (furniture, flooring), Nuts, Ornamental"
Betula platyphylla var. japonica,Japanese White Birch,Asia,"Ornamental, Timber"
Berchemia berchemiifolia,Berchemia berchemiifolia,mountain forests of South Korea and central–southern Japan,"ornamental shrub/tree,medicine"
birch,Birch,Northern Hemisphere,"Timber (plywood, pulp), Ornamental"
Cananga odorata,Ylang-Ylang,"Philippines, Indonesia","Fragrance (essential oil), Ornamental"
Carica papaya,Papaya,"Mexico, Central America","Fruit, Medicinal (papain)"
Carpinus laxiflora,loose-flower hornbeam/akashide,"Korean Peninsula,Japan","Shade tree, bonsai, carving wood"
Carpinus tschonoskii,Chonosuke hornbeam,"Cool mountain woods of China, Korea and Japan","Shade / street tree,Bonsai,Tool handles & turnery wood,Leaf extract in anti-inflammatory skin care"
chestnut,Sweet/Spanish/European chestnut,temperate forests of the Caucasus through southern Europe,"Nuts, Timber, shade/orchard tree"
Casuarina equisetifolia,She-Oak,"Australia, Southeast Asia","Windbreaks, Erosion control, Timber"
Cedrus,Cedar,"Mediterranean, Himalayas","Timber (aromatic), Ornamental"
Cercidiphyllum japonicum,Katsura Tree,Asia,"Ornamental, Timber"
Castanea crenata,Japanese Chestnut,Asia,"Nuts, Timber"
Chamaecyparis pisifera,Sawara Cypress,Japan,"Ornamental, Timber"
Chionanthus retusus,Chinese Fringe Tree,Asia,Ornamental
Chrysophyllum cainino,Star Apple,Central America,"Fruit, Ornamental"
Citrus aurantiifolia,Lime,Southeast Asia,"Fruit, Culinary, Essential oil"
Citrus grandis,Pummelo,Southeast Asia,Fruit
Cocos nucifera,Coconut,Pantropical,"Fruit, Oil, Fiber, Timber, Water"
Cornus controversa,Giant Dogwood,Asia,Ornamental
Cornus kousa,Kousa Dogwood,Asia,"Ornamental, Fruit (edible)"
Dalbergia oliveri,Burmese Rosewood,Southeast Asia,"High-value timber (furniture, veneer)"
Delonix regia,Flamboyant,Madagascar,Ornamental (shade and flower)
Dipterocarpus alatus,Yang,Southeast Asia,"Timber, Resin (gurjun balsam)"
Erythrina fusca,Coral Tree,Pantropical,"Ornamental, Living fences, Medicinal"
Eucalyptus,Eucalyptus,Australia,"Timber, Pulp, Essential oils, Ornamental"
Ficus microcarpa,Chinese Banyan,"Asia, Australia","Ornamental, Bonsai, Shade tree"
Ficus racemosa,Cluster Fig,"Asia, Australia","Ornamental, Fruit (edible), Religious significance"
Fraxinus rhynchophylla,Korean Ash,Asia,"Ornamental, Timber"
Ginkgo biloba,Ginkgo,China,"Ornamental, Medicinal, Edible nuts"
Gmelina arborea Roxb,Gmelina,South and Southeast Asia,"Timber (pulp, plywood), Reforestation"
Hevea brasiliensis,Rubber Tree,South America,Latex production (rubber)
Hopea,Ironwood,Southeast Asia,"High-quality timber (Shorea family), Damar resin"
hornbeam,Hornbeam,Northern Hemisphere,"Ornamental, Timber (tool handles), Hedges"
horse chestnut,Horse Chestnut,Balkans,"Ornamental, Medicinal (seed extract)"
Hovenia dulcis,Japanese Raisin Tree,Asia,"Fruit stalks (edible), Medicinal"
Kalopanax septemlobus,Castor Aralia,Asia,"Ornamental, Timber"
Khaya senegalensis,African Mahogany,Africa,"High-value timber, Ornamental"
Khaya senegalensis A.Juss,African Mahogany,Africa,"High-value timber, Ornamental"
Lagerstroemia speciosa,Queen's Crape Myrtle,Southeast Asia,"Ornamental, Timber, Medicinal"
linden,Linden (Basswood),Northern Hemisphere,"Ornamental, Timber (carving), Honey plant"
Magnolia alba,White Champaca,Southeast Asia,"Ornamental, Fragrance, Religious ceremonies"
Magnolia denudata,Yulan Magnolia,China,Ornamental
Magnolia obovata,Japanese Bigleaf Magnolia,Japan,"Ornamental, Timber"
Maackia amurensis,Amur Maackia,Asia,"Ornamental, Timber"
